timestamp;Stang velocity;Stang force;Stang power;Stang position;Gulv stor sway X;Gulv stor sway Y;Gulv stor Newton;Gulv h sway X;Gulv h sway Y;Gulv h Newton;Gulv v sway X;Gulv v sway Y;Gulv v Newton
-500;-0,1580974;1800,13578904923;-284,596699335216;0,02925231;0,00000;0,00000;1,397074;134,70760;91,84254;1065,82000;113,71480;92,61691;966,70640
-495;-0,1595722;1894,40737366405;-302,294840168037;0,02844535;0,00000;0,00000;0,05477422;134,50940;91,87201;1065,15900;113,40170;92,69342;966,55210
-490;-0,1577297;1955,95532177807;-308,512244474218;0,02767507;0,00000;0,00000;0,2109742;134,28620;91,91146;1064,32600;113,09870;92,77535;966,88090
-485;-0,1538038;1992,98723153665;-306,528957375113;0,02688645;0,00000;0,00000;-0,9436258;134,03970;91,95886;1065,49700;112,80660;92,85889;965,41050
-480;-0,148772;2012,37460475792;-299,38505959766;0,02615284;0,00000;0,00000;1,232474;133,77060;92,01226;1065,82500;112,52450;92,94032;968,06770
-475;-0,1437788;2018,81035652878;-290,262064347012;0,02543759;0,00000;0,00000;1,052574;133,47900;92,07008;1066,32100;112,24930;93,01622;969,23670
-470;-0,1373747;2016,94045857851;-277,076643661917;0,02474067;0,00000;0,00000;0,5545743;133,16410;92,13139;1065,32900;111,97640;93,08361;969,92100
-465;-0,133758;2009,9920084084;-268,852555299016;0,02408043;0,00000;0,00000;1,380874;132,82460;92,19597;1065,82600;111,69990;93,14001;970,94530
-460;-0,1272685;2000,52889939245;-254,604281416262;0,02343853;0,00000;0,00000;0,05867421;132,45900;92,26441;1065,48300;111,41320;93,18352;972,08890
-455;-0,1242417;1990,34105689392;-247,283448507005;0,02281497;0,00000;0,00000;0,2121742;132,06590;92,33792;1065,99200;111,10960;93,21275;973,76630
-450;-0,1240365;1980,73327777052;-245,683310481664;0,02220974;0,00000;0,00000;-1,617326;131,64420;92,41821;1065,16000;110,78300;93,22691;971,45090
-445;-0,1247035;1972,51136813739;-245,978978137168;0,02156784;0,00000;0,00000;-0,6246258;131,19370;92,50713;1067,16100;110,42870;93,22571;972,61070
-440;-0,1271915;1966,04456404459;-250,064231168549;0,02094428;0,00000;0,00000;1,046274;130,71530;92,60641;1067,82800;110,04360;93,20939;971,61340
-435;-0,1243272;1961,45655057801;-243,862497528556;0,02032073;0,00000;0,00000;0,3899742;130,21120;92,71728;1066,66100;109,62680;93,17871;969,96090
-430;-0,1183935;1958,62705214256;-231,888646797588;0,0197155;0,00000;0,00000;-0,4438258;129,68480;92,84021;1067,66400;109,17980;93,13500;968,61740
-425;-0,1106043;1957,28680486755;-216,484350822367;0,01918364;0,00000;0,00000;0,5611742;129,14110;92,97468;1067,50400;108,70610;93,08015;967,29540
-420;-0,1025244;1957,07769065943;-200,648305550792;0,01865179;0,00000;0,00000;-2,105726;128,58560;93,11906;1066,84500;108,21160;93,01665;966,30950
-415;-0,09793303;1957,59737665334;-191,713449116081;0,01817495;0,00000;0,00000;1,396474;128,02530;93,27058;1066,34400;107,70340;92,94759;965,48140
-410;-0,09848024;1958,44373470566;-192,868014081994;0,01767977;0,00000;0,00000;0,3839742;127,46680;93,42551;1062,68300;107,18970;92,87660;965,96220
-405;-0,098865;1959,24093117136;-193,700353021142;0,01718459;0,00000;0,00000;-0,1128258;126,91720;93,57934;1061,84900;106,67930;92,80782;963,82030
-400;-0,102191;1959,66822834853;-200,260446861935;0,01667107;0,00000;0,00000;-0,7751258;126,38290;93,72711;1060,01900;106,18040;92,74564;961,84170
-395;-0,100404;1959,47325393018;-196,738990771984;0,01617588;0,00000;0,00000;-0,4450258;125,86960;93,86388;1059,35100;105,70020;92,69458;961,84160
-390;-0,09685572;1958,48192331358;-189,690179317887;0,01568071;0,00000;0,00000;0,8900743;125,38170;93,98501;1059,02500;105,24480;92,65896;960,03810
-385;-0,08987027;1956,59952728948;-175,840139970338;0,01524054;0,00000;0,00000;-0,4345258;124,92260;94,08668;1058,02400;104,81800;92,64267;959,21550
-380;-0,08329523;1953,80888573689;-162,742974299339;0,01481873;0,00000;0,00000;-0,7814258;124,49410;94,16614;1056,35600;104,42210;92,64882;958,39270
-375;-0,07758376;1950,16236450206;-151,30092442291;0,01443359;0,00000;0,00000;-0,6021258;124,09730;94,22196;1055,18900;104,05700;92,67950;955,58870
-370;-0,07689974;1945,77093924862;-149,629294336935;0,01404845;0,00000;0,00000;-0,2789258;123,73190;94,25422;1051,19400;103,72130;92,73557;953,94730
-365;-0,07843877;1940,79051368966;-152,233217249561;0,0136633;0,00000;0,00000;0,7248742;123,39720;94,26439;1050,35900;103,41230;92,81651;950,95710
-360;-0,07851572;1935,40654814033;-151,959838813433;0,01325983;0,00000;0,00000;0,7188742;123,09230;94,25533;1049,36500;103,12650;92,92045;947,33730
-355;-0,07630124;1929,81794125613;-147,247503005868;0,01287469;0,00000;0,00000;0,2199742;122,81620;94,23099;1047,37200;102,86070;93,04417;948,15570
-350;-0,07336855;1924,22105322197;-141,177311408178;0,01252622;0,00000;0,00000;-0,4396257;122,56850;94,19614;1043,37200;102,61190;93,18339;943,70010
-345;-0,07011095;1918,79472390992;-134,528534282717;0,01215943;0,00000;0,00000;0,5683742;122,34910;94,15599;1041,21300;102,37850;93,33298;942,37620
-340;-0,07054701;1913,68707161897;-135,004908145966;0,01181097;0,00000;0,00000;0,05297425;122,15910;94,11578;1040,04600;102,16050;93,48735;940,22170
-335;-0,07123102;1907,00874943137;-135,838183392934;0,0114625;0,00000;0,00000;1,541274;122,00010;94,08041;1037,72400;101,95940;93,64085;939,88700
-330;-0,07096597;1909,27481861387;-135,493538239812;0,0110957;0,00000;0,00000;0,3878742;121,87440;94,05408;1035,38900;101,77870;93,78811;937,55590
-325;-0,07140203;1915,50186450148;-136,770711365548;0,01074725;0,00000;0,00000;0,8852742;121,78490;94,03999;1034,22800;101,62350;93,92445;937,55780
-320;-0,06896524;1919,2623115582;-132,362386159572;0,01039878;0,00000;0,00000;0,2232742;121,73450;94,04013;1030,23700;101,49970;94,04607;936,56610
-315;-0,06555374;1919,83255270428;-125,852210466001;0,01006867;0,00000;0,00000;2,048874;121,72640;94,05514;1027,07300;101,41390;94,15034;937,06960
-310;-0,06346752;1912,92857560492;-121,408825845832;0,009756885;0,00000;0,00000;0,3830742;121,76310;94,08432;1024,57800;101,37260;94,23582;938,22230
-305;-0,06167199;1900,9630516623;-117,23617993792;0,009445108;0,00000;0,00000;0,3713742;121,84640;94,12571;1025,57500;101,38100;94,30229;940,02970
-300;-0,06282626;1892,63113153724;-118,90693572572;0,009133324;0,00000;0,00000;0,7176743;121,97710;94,17628;1023,58600;101,44310;94,35065;940,51040
-295;-0,06265526;1880,07719748928;-117,796719376934;0,008821547;0,00000;0,00000;0,7227742;122,15440;94,23222;1023,08400;101,56020;94,38272;939,18510
-290;-0,06034672;1869,61968821399;-112,825423019083;0,00850977;0,00000;0,00000;0,0490742;122,37650;94,28924;1019,42200;101,73140;94,40113;936,84650
-285;-0,05694377;1862,98436567179;-106,085361181283;0,008234665;0,00000;0,00000;0,04877423;122,63960;94,34297;1017,42100;101,95260;94,40902;937,83220
-280;-0,05454974;1859,52838552839;-101,436790498189;0,007959567;0,00000;0,00000;0,05177422;122,93870;94,38934;1018,25200;102,21690;94,40986;938,14490
-275;-0,054849;1865,67776071112;-102,330553390857;0,007684469;0,00000;0,00000;0,7224742;123,26720;94,42490;1018,42300;102,51510;94,40726;937,97840
-270;-0,05932926;1872,45915550001;-111,091615786574;0,007391021;0,00000;0,00000;0,5584742;123,61720;94,44712;1017,92500;102,83560;94,40482;937,31820
-265;-0,06205675;1876,50586563403;-116,449851821768;0,007079251;0,00000;0,00000;0,8846743;123,98000;94,45464;1017,09100;103,16530;94,40598;936,82690
-260;-0,06444223;1876,95725866079;-120,955310258397;0,006749123;0,00000;0,00000;1,217474;124,34650;94,44734;1015,59400;103,49060;94,41394;936,99220
-255;-0,06509203;1870,49213691124;-121,754142181848;0,006437339;0,00000;0,00000;0,8933743;124,70740;94,42632;1018,92100;103,79800;94,43154;937,32240
-250;-0,06444223;1866,03408478367;-120,251396581504;0,006107226;0,00000;0,00000;0,7299742;125,05350;94,39380;1018,91900;104,07490;94,46121;935,34540
-245;-0,062185;1870,92929548721;-116,343738391712;0,005795442;0,00000;0,00000;0,05117421;125,37650;94,35291;1020,57800;104,31060;94,50487;935,01350
-240;-0,0586025;1881,17484461882;-110,241546780144;0,005502008;0,00000;0,00000;1,051674;125,66920;94,30732;1021,91400;104,49670;94,56383;934,50910
-235;-0,05591776;1897,68235094427;-106,114150996328;0,00522691;0,00000;0,00000;0,3803742;125,92580;94,26093;1022,91200;104,62770;94,63875;935,66920
-230;-0,05540475;1910,19316547861;-105,83378107302;0,004951805;0,00000;0,00000;1,545774;126,14190;94,21745;1023,58300;104,70130;94,72952;936,01620
-225;-0,05646497;1921,9015055774;-108,520109801959;0,004658364;0,00000;0,00000;0,7281741;126,31480;94,18007;1024,91500;104,71860;94,83523;936,51950
