timestamp;Stang velocity;Stang force;Stang power;Stang position;Gulv stor sway X;Gulv stor sway Y;Gulv stor Newton;Gulv h sway X;Gulv h sway Y;Gulv h Newton;Gulv v sway X;Gulv v sway Y;Gulv v Newton
-500;-0,2131715;2019,14351817905;-430,423861364503;0,02629957;0,00000;0,00000;0,462871;102,47550;78,14933;1101,91000;114,58750;117,14710;1026,21000
-495;-0,2043221;2050,59942553881;-418,982859147782;0,02527252;0,00000;0,00000;-1,041929;102,44620;78,19365;1100,91200;114,48170;117,23270;1026,21800
-490;-0,2015947;2066,72578536591;-416,640861475515;0,0242638;0,00000;0,00000;-0,3679289;102,42130;78,21858;1102,57300;114,40540;117,34950;1027,21600
-485;-0,2002523;2073,13379625429;-415,149767940956;0,0232735;0,00000;0,00000;-1,202329;102,39790;78,22653;1101,90500;114,36390;117,49830;1027,72600
-480;-0,1974307;2074,0272397554;-409,476730797657;0,02228308;0,00000;0,00000;-1,199029;102,37250;78,22125;1101,90600;114,36060;117,67770;1028,55000
-475;-0,1921382;2071,4251385963;-397,999935492513;0,0213111;0,00000;0,00000;0,3036711;102,34160;78,20755;1100,74100;114,39780;117,88510;1027,89800
-470;-0,185452;2067,62652641348;-383,445527868392;0,02039409;0,00000;0,00000;-0,5385289;102,30260;78,19090;1100,74300;114,47570;118,11640;1030,06100
-465;-0,1802877;2063,75335408044;-372,06945843801;0,0194954;0,00000;0,00000;-0,5349289;102,25360;78,17699;1102,07300;114,59310;118,36610;1029,74700
-460;-0,17939;2060,61483401305;-369,653675071314;0,01859677;0,00000;0,00000;-0,5421289;102,19420;78,17132;1103,07100;114,74660;118,62760;1031,90200
-455;-0,1790907;2058,58503743594;-368,673511411857;0,01769814;0,00000;0,00000;-0,539129;102,12520;78,17870;1103,23500;114,93170;118,89390;1032,74900
-450;-0,175551;2057,90195545721;-361,26673396189;0,01681781;0,00000;0,00000;1,293671;102,04850;78,20295;1105,56600;115,14220;119,15770;1033,42200
-445;-0,1695403;2058,61595142085;-349,01829196573;0,01597413;0,00000;0,00000;0,1306711;101,96700;78,24657;1105,89700;115,37100;119,41190;1036,08400
-440;-0,165231;2060,61213853199;-340,477017606589;0,01514885;0,00000;0,00000;-1,045829;101,88430;78,31057;1107,39500;115,61050;119,65010;1038,57000
-435;-0,1616058;2063,76883559599;-333,51692276111;0,01434189;0,00000;0,00000;-1,369029;101,80450;78,39438;1106,38500;115,85280;119,86730;1039,08200
-430;-0,1599812;2067,90354495217;-330,825751835354;0,01353493;0,00000;0,00000;-0,5295289;101,73120;78,49590;1107,38100;116,09060;120,05950;1041,23000
-425;-0,15645;2072,82261462144;-324,293166562064;0,01276466;0,00000;0,00000;-1,548929;101,66830;78,61163;1108,71200;116,31740;120,22470;1042,23800
-420;-0,1508497;2078,33505992676;-313,516240015619;0,01199436;0,00000;0,00000;-0,2111289;101,61870;78,73689;1108,21600;116,52800;120,36270;1043,24200
-415;-0,1457453;2084,25390313501;-303,77018877772;0,01127911;0,00000;0,00000;0,2805711;101,58500;78,86617;1110,54900;116,71920;120,47500;1044,23400
-410;-0,139042;2090,40340605687;-290,65386521547;0,01058221;0,00000;0,00000;-0,8521289;101,56940;78,99347;1111,54900;116,88950;120,56490;1045,72900
-405;-0,1331937;2096,61316445215;-279,255696364237;0,00990361;0,00000;0,00000;-0,7106289;101,57340;79,11269;1113,04800;117,04000;120,63690;1046,06700
-400;-0,1282603;2102,72298225082;-269,695871714299;0,009280056;0,00000;0,00000;0,7908711;101,59870;79,21803;1112,21300;117,17360;120,69650;1047,39800
-395;-0,125986;2108,57857836749;-265,651318715945;0,008638144;0,00000;0,00000;0,3069711;101,64670;79,30431;1112,55100;117,29560;120,74990;1049,38500
-390;-0,1233953;2114,03154438082;-260,861528787435;0,008032948;0,00000;0,00000;-0,3688289;101,71960;79,36737;1114,88200;117,41280;120,80340;1050,38500
-385;-0,1208217;2118,9371125387;-256,013576888262;0,007409364;0,00000;0,00000;-1,537529;101,82010;79,40421;1116,04900;117,53340;120,86260;1051,54800
-380;-0,1136738;2123,15565055029;-241,347165569865;0,006859183;0,00000;0,00000;0,3099711;101,95150;79,41321;1115,21100;117,66610;120,93270;1051,38700
-375;-0,108672;2126,55350384238;-231,096773726965;0,006308973;0,00000;0,00000;-1,201429;102,11830;79,39418;1116,55000;117,82010;121,01780;1051,54700
-370;-0,099549;2129,00569965388;-211,940395553053;0,005813807;0,00000;0,00000;-0,859929;102,32570;79,34834;1116,04900;118,00370;121,12050;1052,21400
-365;-0,09254646;2130,39959083176;-197,160944715198;0,00533691;0,00000;0,00000;0,6238711;102,57940;79,27819;1116,21300;118,22450;121,24220;1050,71200
-360;-0,08497106;2130,63935339256;-181,042685351943;0,004933476;0,00000;0,00000;-0,3667289;102,88520;79,18732;1115,54800;118,48830;121,38300;1051,04300
-355;-0,08291049;2129,65106073177;-176,570397871776;0,004511654;0,00000;0,00000;-0,5418289;103,24860;79,08014;1114,20900;118,79890;121,54180;1048,56500
-350;-0,07988374;2127,38796833121;-169,943708364776;0,004108161;0,00000;0,00000;0,6352711;103,67430;78,96156;1112,04500;119,15830;121,71660;1045,56900
-345;-0,07642949;2123,83561316573;-162,323676428192;0,003722996;0,00000;0,00000;0,794171;104,16560;78,83665;1110,54800;119,56620;121,90490;1043,91700
-340;-0,06764852;2119,01630304636;-143,348320148698;0,003392935;0,00000;0,00000;-0,04652891;104,72360;78,71031;1108,70700;120,02020;122,10380;1044,73200
-335;-0,06103073;2117,36982325295;-129,224627825959;0,003081113;0,00000;0,00000;-1,041929;105,34740;78,58695;1107,70900;120,51650;122,31050;1042,90700
-330;-0,05647352;2100,9029385361;-118,645381600761;0,002806067;0,00000;0,00000;0,1354711;106,03320;78,47019;1106,20600;121,04980;122,52250;1042,24100
-325;-0,05412224;2091,25026052231;-113,183141241486;0,002530932;0,00000;0,00000;-0,6992289;106,77480;78,36263;1104,70600;121,61420;122,73770;1040,09300
-320;-0,05122375;2086,43185015041;-106,874857257003;0,002274185;0,00000;0,00000;-1,031729;107,56360;78,26575;1105,37700;122,20350;122,95480;1038,41400
-315;-0,04755575;2084,57671117891;-99,1336060031902;0,002035737;0,00000;0,00000;-0,2093289;108,38880;78,17979;1103,70600;122,81190;123,17300;1036,92200
-310;-0,04448626;2081,50628192764;-92,5984224517755;0,001815647;0,00000;0,00000;0,7953711;109,23800;78,10382;1102,70200;123,43430;123,39200;1034,42000
-305;-0,04158777;2074,42022869053;-86,2705052978829;0,001613945;0,00000;0,00000;-0,7082289;110,09830;78,03585;1100,70700;124,06670;123,61210;1033,25600
-300;-0,03726996;2062,75462689179;-76,8787813216418;0,001412213;0,00000;0,00000;0,9671711;110,95640;77,97300;1097,05100;124,70630;123,83390;1032,25200
-295;-0,03122503;2056,02910119573;-64,1995641704388;0,001265496;0,00000;0,00000;-0,3673289;111,79970;77,91173;1097,04700;125,35180;124,05810;1031,08100
-290;-0,02588975;2053,34373162593;-53,1605634297181;0,001137108;0,00000;0,00000;0,7914711;112,61710;77,84814;1096,88300;126,00280;124,28540;1029,90800
-285;-0,022179;2052,40809258725;-45,5203643283142;0,001027048;0,00000;0,00000;-0,7103289;113,39910;77,77830;1095,54200;126,66030;124,51640;1029,89300
-280;-0,02029798;2047,6574151533;-41,5633028829546;0,0009169877;0,00000;0,00000;0,1273711;114,13900;77,69846;1093,21500;127,32540;124,75130;1028,39100
-275;-0,01979352;2039,73681674002;-40,3735720921631;0,0008253157;0,00000;0,00000;-0,0327289;114,83240;77,60541;1090,87700;127,99970;124,99030;1028,05200
-270;-0,01936601;2030,29192904198;-39,3186631623353;0,000733614;0,00000;0,00000;-0,1973289;115,47750;77,49660;1089,54700;128,68440;125,23300;1025,70500
-265;-0,01901546;2025,83168776797;-38,5221210647518;0,0006235838;0,00000;0,00000;0,447871;116,07550;77,37033;1085,38800;129,38010;125,47890;1023,04700
-260;-0,01740804;2022,82673873346;-35,2134444926194;0,0005502105;0,00000;0,00000;-0,3688289;116,62940;77,22583;1084,88500;130,08650;125,72710;1021,35800
-255;-0,01313298;2018,91521799022;-26,5143726623991;0,0004768372;0,00000;0,00000;-0,02972891;117,14430;77,06324;1080,89100;130,80180;125,97670;1017,37000
-250;-0,007678005;2012,65315028414;-15,4531615549374;0,0004401505;0,00000;0,00000;-0,8632289;117,62670;76,88350;1080,22700;131,52320;126,22680;1015,53100
-245;-0,003753501;1998,93023053138;-7,5029873088031;0,0004218221;0,00000;0,00000;-0,0438289;118,08390;76,68827;1077,39400;132,24640;126,47620;1013,51500
-240;-0,0002992541;1986,30988326961;-0,594411371387579;0,0004218221;0,00000;0,00000;-1,038029;118,52360;76,47971;1078,06600;132,96590;126,72380;1011,68100
-235;0,0001710023;1971,3101034249;0,337098643318933;0,0004218221;0,00000;0,00000;-0,8710289;118,95350;76,26030;1074,57200;133,67540;126,96880;1010,66800
-230;0,0002137529;1962,73245129241;0,419539805900654;0,0004218221;0,00000;0,00000;-1,037729;119,38060;76,03260;1071,90600;134,36830;127,20990;1008,01700
-225;-0,0001282518;1956,1735399185;-0,250882691638898;0,0004218221;0,00000;0,00000;-0,04622888;119,81130;75,79912;1070,23600;135,03750;127,44630;1005,86200
-220;0,00000;1955,27480486245;0,00000;0,0004218221;0,00000;0,00000;-0,5424289;120,25100;75,56216;1068,24400;135,67650;127,67700;1007,34500
-215;0,00000;1950,05889385306;0,00000;0,0004218221;0,00000;0,00000;-0,7031289;120,70360;75,32370;1068,07100;136,27960;127,90090;1003,88200
-210;-0,0001282518;1948,74904489311;-0,249930487114085;0,0004218221;0,00000;0,00000;-0,03632893;121,17200;75,08540;1066,24300;136,84210;128,11720;1001,54300
-205;0,0004702564;1940,37861201238;0,912475536126755;0,0004218221;0,00000;0,00000;0,636771;121,65750;74,84859;1063,24500;137,36080;128,32500;998,90520
-200;-0,0002565035;1934,81535128882;-0,496286932882047;0,0004218221;0,00000;0,00000;-0,03512892;122,16010;74,61438;1061,58200;137,83390;128,52350;998,57420
-195;-0,001154266;1924,62217122507;-2,22152555878278;0,0004218221;0,00000;0,00000;-0,543929;122,67850;74,38373;1059,25900;138,26160;128,71210;995,75920
-190;-0,001530471;1922,66000993156;-2,94257530262732;0,0004034936;0,00000;0,00000;0,1198711;123,21000;74,15758;1059,91800;138,64560;128,89090;995,28860
-185;-0,001154266;1921,40839479283;-2,21781600654381;0,0004034936;0,00000;0,00000;-1,035329;123,75060;73,93699;1057,58500;138,98910;129,06010;992,80770
-180;-0,0002565035;1925,71108426851;-0,493951656416187;0,0004034936;0,00000;0,00000;-1,205329;124,29550;73,72321;1054,59000;139,29670;129,22070;991,65470
-175;0,0004702564;1922,42817327341;0,904034226729374;0,0004034936;0,00000;0,00000;-0,5382289;124,83890;73,51781;1053,25400;139,57380;129,37440;991,15250
-170;-0,0001282518;1917,91695577805;-0,245976217542298;0,0004034936;0,00000;0,00000;-1,025129;125,37420;73,32265;1052,58700;139,82680;129,52330;989,84720
-165;0,00000;1912,95083059951;0,00000;0,0004034936;0,00000;0,00000;-0,7103289;125,89490;73,13990;1052,09300;140,06210;129,67040;987,03940
-160;0,00000;1910,14305141577;0,00000;0,0004034936;0,00000;0,00000;-0,874929;126,39440;72,97195;1049,92800;140,28630;129,81910;986,04310
-155;0,00000;1908,55348591615;0,00000;0,0004034936;0,00000;0,00000;-0,7250289;126,86640;72,82128;1048,76400;140,50550;129,97290;983,08470
-150;-0,0001282518;1906,23238922691;-0,244477651363396;0,0004034936;0,00000;0,00000;0,4604711;127,30570;72,69032;1045,26300;140,72530;130,13550;982,25200
-145;0,0003420047;1902,60625894331;0,650700250098251;0,0004034936;0,00000;0,00000;0,7947711;127,70810;72,58120;1046,10300;140,95020;130,31000;980,59310
-140;-0,00004275058;1900,77313963531;-0,0812591643388405;0,0004034936;0,00000;0,00000;0,6439711;128,07100;72,49560;1045,27200;141,18410;130,49920;978,60550
-135;-0,0005985082;1900,11204397466;-1,1372326295733;0,0004034936;0,00000;0,00000;-1,206829;128,39320;72,43452;1043,27200;141,42930;130,70470;977,60280
-130;-0,002983991;1899,87522755083;-5,6692103094005;0,0003851652;0,00000;0,00000;-0,2003289;128,67530;72,39815;1043,10700;141,68740;130,92710;975,62830
-125;-0,004694014;1907,06688389446;-8,9517991232032;0,0003668368;0,00000;0,00000;-0,8776289;128,91940;72,38570;1043,44300;141,95860;131,16590;974,80260
-120;-0,004984718;1915,21273584419;-9,54679605218997;0,0003301501;0,00000;0,00000;-0,8659289;129,12870;72,39545;1041,10800;142,24230;131,41910;974,31120
-115;-0,006019282;1923,66253707269;-11,5790679924871;0,0003118217;0,00000;0,00000;0,7944711;129,30760;72,42465;1043,61100;142,53730;131,68360;973,64900
-110;-0,007549753;1926,72089940031;-14,5462671855441;0,0002751052;0,00000;0,00000;-0,5322289;129,46130;72,46971;1042,94800;142,84160;131,95550;974,32660
-105;-0,008823721;1926,53575485617;-16,9992130822681;0,0002200902;0,00000;0,00000;-0,7037289;129,59510;72,52631;1043,11600;143,15310;132,23020;972,68500
-100;-0,009046024;1921,92873931757;-17,3858128111539;0,0001834333;0,00000;0,00000;-0,03692891;129,71440;72,58960;1043,95600;143,46990;132,50270;972,84690
-95;-0,006523739;1922,06210698522;-12,5390320577035;0,0001467466;0,00000;0,00000;1,294571;129,82470;72,65446;1044,45100;143,79000;132,76830;974,00590
-90;-0,003796252;1919,18378967433;-7,28570543180124;0,0001283586;0,00000;0,00000;-1,209529;129,93090;72,71577;1046,95000;144,11220;133,02270;974,66910
-85;-0,004095506;1918,35906377711;-7,85665115599551;0,00011006;0,00000;0,00000;-0,368829;130,03780;72,76864;1048,61900;144,43550;133,26250;976,00440
-80;-0,004010005;1920,64288319622;-7,70178738414239;0,00009173155;0,00000;0,00000;-0,8743289;130,14990;72,80866;1052,44000;144,75980;133,48530;978,50740
-75;-0,005583226;1923,05972542149;-10,7368779178244;0,00005501509;0,00000;0,00000;-0,2042289;130,27140;72,83218;1054,43900;145,08500;133,68980;979,48870
-70;-0,00584828;1927,46991795388;-11,2723839182883;0,00003668666;0,00000;0,00000;-0,2045289;130,40650;72,83636;1058,26700;145,41170;133,87620;981,00930
-65;-0,005796979;1933,95863388232;-11,2111183099999;0,00000;0,00000;0,00000;0,1162711;130,55940;72,81942;1060,42700;145,74040;134,04580;982,99860
-60;-0,004565762;1939,29265082952;-8,85434969171406;-0,00001832843;0,00000;0,00000;0,4532711;130,73460;72,78056;1062,75600;146,07190;134,20080;986,32610
-55;-0,002513734;1943,3989202589;-4,88518875499894;-0,00003668666;0,00000;0,00000;-1,034729;130,93660;72,72009;1065,74900;146,40650;134,34430;987,32900
-50;-0,0008550117;1947,9627082491;-1,66553092039089;-0,00003668666;0,00000;0,00000;1,964671;131,17000;72,63924;1069,74500;146,74430;134,48010;992,64530
-45;-0,001197016;1952,86182217645;-2,33760760821395;-0,00003668666;0,00000;0,00000;-0,2108289;131,43930;72,54016;1074,24300;147,08550;134,61210;995,48060
-40;-0,001188466;1956,98395999331;-2,32580943277942;-0,00005498528;0,00000;0,00000;-0,5361289;131,74870;72,42570;1080,06100;147,42990;134,74420;999,32590
-35;-0,001282518;1960,24959555276;-2,51405452931758;-0,00005498528;0,00000;0,00000;-0,5436289;132,10200;72,29923;1084,88800;147,77750;134,88000;1002,67800
-30;-0,0001282518;1966,17767073476;-0,252165738983851;-0,00005498528;0,00000;0,00000;-0,7025289;132,50170;72,16442;1088,22300;148,12830;135,02280;1007,99200
-25;0,00000;1975,72615527657;0,00000;-0,00005498528;0,00000;0,00000;-0,8710289;132,94890;72,02499;1090,88800;148,48320;135,17510;1012,67900
-20;0,0003847553;1989,18296782302;0,765348626201854;-0,00005498528;0,00000;0,00000;-0,5460289;133,44310;71,88454;1097,87500;148,84360;135,33860;1018,34800
-15;0,0005985082;2005,03052886765;1,20002715361126;-0,00005498528;0,00000;0,00000;-1,198429;133,98190;71,74622;1102,53100;149,21150;135,51430;1024,17100
-10;0,001273968;2017,26471091845;2,56992973077389;-0,00003668666;0,00000;0,00000;0,2961711;134,56090;71,61266;1107,52500;149,59020;135,70230;1028,36500
-5;0,00290704;2030,43880663669;5,90256639164026;-0,00003668666;0,00000;0,00000;-0,3682289;135,17370;71,48572;1114,17800;149,98340;135,90200;1032,04500
0;0,005583226;2041,24229147572;11,3967174310276;0,00000;0,00000;0,00000;0,6328711;135,81230;71,36645;1117,66700;150,39520;136,11200;1039,19100
5;0,01096125;2047,22043210593;22,4400943922801;0,00005501509;0,00000;0,00000;-0,04232888;136,46750;71,25502;1122,15900;150,83010;136,33060;1042,70300
10;0,01966527;2054,37173261333;40,3997729627369;0,0001467466;0,00000;0,00000;-0,3700289;137,12980;71,15077;1129,31200;151,29220;136,55550;1048,21000
15;0,02878824;2065,7189805609;59,4684217093506;0,0002934635;0,00000;0,00000;-0,8770289;137,78980;71,05231;1135,63500;151,78490;136,78420;1053,71200
20;0,03638075;2073,40910893987;75,4321730929251;0,0004768372;0,00000;0,00000;-0,2147289;138,43930;70,95765;1141,12200;152,31000;137,01430;1058,21200
25;0,03974949;2081,86665441883;82,7531452353985;0,0006786287;0,00000;0,00000;-0,372129;139,07170;70,86439;1144,77300;152,86790;137,24320;1063,72800
30;0,03753501;2078,61672137817;78,0209056257944;0,0008619726;0,00000;0,00000;-0,1970289;139,68290;70,77000;1150,09700;153,45660;137,46880;1067,75200
35;0,03582499;2077,18491667045;74,4151272532005;0,001045406;0,00000;0,00000;-2,201329;140,27170;70,67199;1156,08000;154,07200;137,68920;1073,08600
40;0,03485028;2076,02561975035;72,3500642976189;0,001210451;0,00000;0,00000;-0,5364289;140,83980;70,56818;1160,24000;154,70740;137,90300;1079,24600
45;0,03791122;2072,37682826484;78,5663288473231;0,001412213;0,00000;0,00000;-0,03452891;141,39180;70,45688;1165,40500;155,35430;138,10910;1083,09900
