timestamp;Stang velocity;Stang force;Stang power;Stang position;Gulv stor sway X;Gulv stor sway Y;Gulv stor Newton;Gulv h sway X;Gulv h sway Y;Gulv h Newton;Gulv v sway X;Gulv v sway Y;Gulv v Newton
-500;-0,4191495;2503,3847864779;-1049,29251187112;0,1021354;0,00000;0,00000;-0,9257962;144,88120;49,82792;1170,62300;159,90800;99,67126;1194,52100
-495;-0,4108388;2461,01867429405;-1011,0819216928;0,100063;0,00000;0,00000;0,225204;144,72830;49,89828;1175,14500;159,74250;99,75706;1198,08600
-490;-0,4038448;2444,66297642095;-987,264429406881;0,09806395;0,00000;0,00000;0,605004;144,66770;49,94565;1179,83400;159,54710;99,81802;1198,66300
-485;-0,3995641;2444,79622577385;-976,852696975206;0,09606487;0,00000;0,00000;-1,816596;144,68270;49,96946;1181,02200;159,32740;99,85296;1199,91400
-480;-0,3983158;2454,70464349283;-977,747518057215;0,09406579;0,00000;0,00000;-1,273296;144,75070;49,97050;1181,53900;159,09020;99,86204;1199,33100
-475;-0,400496;2468,42334319348;-988,593720276019;0,09206676;0,00000;0,00000;-1,603996;144,84560;49,95094;1181,88900;158,84300;99,84682;1197,27800
-470;-0,4010945;2483,08821285158;-995,953110407421;0,09006774;0,00000;0,00000;0,9370041;144,93960;49,91432;1181,24000;158,59360;99,81036;1196,38900
-465;-0,3985722;2496,35985582915;-994,979763295944;0,08806866;0,00000;0,00000;-0,07829612;145,00590;49,86541;1183,25700;158,34980;99,75698;1197,82400
-460;-0,390595;2507,12307319199;-979,269684616961;0,0861063;0,00000;0,00000;-2,145996;145,02050;49,80987;1182,10900;158,11830;99,69194;1198,09300
-455;-0,3807966;2514,79860329973;-957,626604746594;0,08421725;0,00000;0,00000;-0,07229608;144,96450;49,75388;1180,46000;157,90430;99,62105;1197,86200
-450;-0,3697412;2519,40088186698;-931,526384655633;0,08236492;0,00000;0,00000;-0,7808961;144,82510;49,70367;1180,47200;157,71050;99,55003;1199,45600
-445;-0,3649617;2521,24040414257;-920,156236914452;0,08053094;0,00000;0,00000;-2,468796;144,59630;49,66500;1182,82000;157,53660;99,48409;1201,37700
-440;-0,3633971;2520,71570245058;-916,020672436273;0,07873356;0,00000;0,00000;-3,136696;144,27890;49,64273;1184,34000;157,37910;99,42731;1203,30500
-435;-0,3626959;2518,38233797936;-913,407056426126;0,07689959;0,00000;0,00000;-1,484096;143,88010;49,64042;1186,01900;157,23120;99,38246;1202,26400
-430;-0,3620718;2514,76995068626;-910,527227415131;0,07510227;0,00000;0,00000;-3,852096;143,41180;49,66008;1188,52500;157,08380;99,35069;1204,18500
-425;-0,357754;2510,37786430515;-898,097648872692;0,07330489;0,00000;0,00000;-2,295896;142,88880;49,70201;1191,53700;156,92560;99,33161;1202,80600
-420;-0,3525555;2505,64636474077;-883,379415235259;0,07154429;0,00000;0,00000;1,817204;142,32730;49,76488;1193,04600;156,74480;99,32355;1203,72600
-415;-0,3472288;2500,93735083645;-868,397449527553;0,06982034;0,00000;0,00000;1,306504;141,74210;49,84593;1194,37700;156,53030;99,32386;1207,46400
-410;-0,3398757;2496,53506382878;-848,511579586924;0,06809634;0,00000;0,00000;-0,9119961;141,14480;49,94127;1195,70600;156,27310;99,32948;1207,89400
-405;-0,3345233;2492,64255369055;-833,847034728884;0,06644577;0,00000;0,00000;0,641704;140,54250;50,04634;1194,86100;155,96780;99,33740;1208,35200
-400;-0,328581;2489,39712141639;-817,968532740509;0,06479514;0,00000;0,00000;-1,561996;139,93590;50,15644;1193,51800;155,61290;99,34516;1206,49500
-395;-0,325084;2486,87864688928;-808,444393240391;0,06316292;0,00000;0,00000;-0,6887959;139,31920;50,26723;1193,17100;155,21180;99,35116;1207,80700
-390;-0,3258621;2485,12346341337;-809,807399154141;0,06154901;0,00000;0,00000;-0,356896;138,68030;50,37526;1197,32500;154,77220;99,35479;1209,28000
-385;-0,3244855;2484,13480017308;-806,065650809819;0,05991679;0,00000;0,00000;-2,621296;138,00100;50,47832;1200,99500;154,30540;99,35636;1210,11900
-380;-0,3221855;2483,89510970421;-800,274957405245;0,05830282;0,00000;0,00000;-0,2456961;137,25940;50,57578;1204,81500;153,82500;99,35678;1211,12700
-375;-0,3166878;2484,3743534727;-786,770945447809;0,05672556;0,00000;0,00000;-0,912296;136,43110;50,66864;1208,14200;153,34470;99,35707;1208,51600
