timestamp;Stang velocity;Stang force;Stang power;Stang position;Gulv stor sway X;Gulv stor sway Y;Gulv stor Newton;Gulv h sway X;Gulv h sway Y;Gulv h Newton;Gulv v sway X;Gulv v sway Y;Gulv v Newton
-500;-0,2422248;1827,16095753274;-442,583713166858;0,06059539;0,00000;0,00000;-0,7030997;164,10020;29,68890;939,98190;170,98260;101,00180;913,03420
-495;-0,2373256;1911,73518923635;-453,703678449331;0,05940318;0,00000;0,00000;-0,8554003;164,57420;29,57484;941,15340;171,54230;101,03810;916,37050
-490;-0,2336362;1962,37731254355;-458,482389208197;0,0582478;0,00000;0,00000;-0,8659003;165,03060;29,47597;944,48390;172,07500;101,04670;918,08880
-485;-0,2292585;1990,45212483225;-456,328149914606;0,05709243;0,00000;0,00000;-0,02009988;165,46430;29,39441;943,81440;172,57430;101,02820;916,79730
-480;-0,2233205;2004,28115989358;-447,597041807646;0,05597365;0,00000;0,00000;1,63310;165,87140;29,33100;943,81460;173,03530;100,98510;917,34790
-475;-0,2156425;2008,9066462592;-433,205631718803;0,05489159;0,00000;0,00000;0,1355002;166,25000;29,28513;944,63950;173,45530;100,92100;919,03530
-470;-0,2080585;2008,49801972127;-417,885163856966;0,0538646;0,00000;0,00000;0,1448002;166,59990;29,25479;943,47030;173,83450;100,84120;921,88930
-465;-0,2034415;2005,41649497143;-407,984895218909;0,05283761;0,00000;0,00000;-1,53780;166,92300;29,23666;943,96250;174,17560;100,75210;922,74880
-460;-0,2028943;2001,15556131335;-406,022991840434;0,05182886;0,00000;0,00000;-1,20440;167,22250;29,22638;944,61390;174,48410;100,66110;923,45250
-455;-0,1983285;1996,43441214139;-395,949842640484;0,05083847;0,00000;0,00000;0,8059001;167,50280;29,21887;944,28000;174,76800;100,57610;922,50290
-450;-0,1897014;1991,59334306341;-377,808108331571;0,04986644;0,00000;0,00000;-1,68950;167,76900;29,20876;945,10720;175,03650;100,50480;924,34810
-445;-0,1826903;1986,65989663928;-362,943562891662;0,04898608;0,00000;0,00000;-0,86500;168,02640;29,19079;945,60470;175,29960;100,45460;926,71550
-440;-0,17768;1981,4561641774;-352,065069107524;0,04808748;0,00000;0,00000;0,62690;168,28000;29,16023;945,42860;175,56720;100,43150;926,57730
-435;-0,174012;1975,7908581711;-343,811269497339;0,04720724;0,00000;0,00000;-0,1936998;168,53380;29,11319;944,76000;175,84800;100,44020;925,97170
-430;-0,1697113;1969,4558837605;-334,238854407377;0,04636359;0,00000;0,00000;0,4674003;168,79070;29,04691;944,25540;176,14890;100,48340;926,53680
-425;-0,161563;1962,29245340188;-317,033866267425;0,04555655;0,00000;0,00000;-0,02489996;169,05250;28,95994;945,75680;176,47410;100,56160;923,95870
-420;-0,15875;1954,21482592984;-310,23162264688;0,04476798;0,00000;0,00000;-0,02939987;169,31900;28,85218;942,58580;176,82520;100,67330;922,53060
-415;-0,1569972;1945,21302468307;-305,393060181313;0,04397929;0,00000;0,00000;-0,3717997;169,58890;28,72486;939,25910;177,20080;100,81470;917,80390
-410;-0,156527;1935,35328133752;-302,935002018639;0,04319072;0,00000;0,00000;-1,03140;169,85930;28,58035;936,91960;177,59670;100,98020;915,89010
-405;-0,152782;1924,76194125593;-294,069041139163;0,04243875;0,00000;0,00000;-0,37450;170,12610;28,42200;934,92770;178,00630;101,16300;910,99740
-400;-0,1472245;1913,6151733845;-281,730961208012;0,04168677;0,00000;0,00000;-0,8634999;170,38430;28,25379;934,92960;178,42130;101,35520;909,24210
-395;-0,142462;1902,11908217686;-270,979772806033;0,04098988;0,00000;0,00000;0,1430001;170,62850;28,08001;934,10400;178,83210;101,54820;906,98810
-390;-0,1379305;1890,49303656216;-260,756609776467;0,04029298;0,00000;0,00000;-1,03860;170,85330;27,90493;931,27200;179,22870;101,73380;903,55760
-385;-0,1350747;1878,95177586074;-253,798915617727;0,03961444;0,00000;0,00000;-1,01640;171,05350;27,73241;932,77320;179,60130;101,90440;901,10640
-380;-0,1339718;1867,69220835848;-250,218030735559;0,03895414;0,00000;0,00000;-0,2044997;171,22450;27,56569;933,94450;179,94130;102,05320;899,16600
-375;-0,1337495;1856,88180957653;-248,356949647228;0,0382756;0,00000;0,00000;-1,19870;171,36330;27,40715;934,45050;180,24110;102,17490;897,02300
-370;-0,1343565;1846,65120361859;-248,10963856397;0,0376153;0,00000;0,00000;0,2986002;171,46790;27,25821;935,28060;180,49540;102,26600;897,85360
-365;-0,1324242;1837,09040500184;-243,275228265539;0,03693676;0,00000;0,00000;-0,5315998;171,53820;27,11937;933,78110;180,70120;102,32480;896,19180
-360;-0,1303893;1828,24874846393;-238,384029607775;0,03629482;0,00000;0,00000;-0,8689001;171,57580;26,99029;935,11740;180,85810;102,35140;892,89890
-355;-0,1298335;1820,13822772477;-236,31495036317;0,035653;0,00000;0,00000;-1,20440;171,58400;26,87002;935,27990;180,96820;102,34770;892,38880
-350;-0,1290982;1812,73976173237;-234,02145747072;0,03499269;0,00000;0,00000;-1,36930;171,56770;26,75723;934,43630;181,03650;102,31750;889,55670
-345;-0,1297908;1806,01177363399;-234,403655166294;0,03435087;0,00000;0,00000;0,7954001;171,53350;26,65045;931,93460;181,07040;102,26570;886,73620
-340;-0,1286365;1799,90035270801;-231,532888491367;0,03370893;0,00000;0,00000;-0,1885998;171,48880;26,54833;931,91770;181,07970;102,19850;884,08800
-335;-0,128038;1796,0980767211;-229,968799017237;0,03306711;0,00000;0,00000;-0,03239989;171,44200;26,44974;929,40680;181,07600;102,12300;880,61190
-330;-0,1282945;1786,8325833266;-229,240792029894;0,03242517;0,00000;0,00000;0,4704001;171,40210;26,35385;925,39330;181,07230;102,04630;877,62370
-325;-0,1279525;1779,00140758731;-227,62766925657;0,03178322;0,00000;0,00000;-0,69590;171,37790;26,26010;923,21740;181,08240;101,97560;875,62160
-320;-0,1294915;1776,43713962695;-230,033536245675;0,03114128;0,00000;0,00000;-0,3513999;171,37850;26,16808;926,04370;181,11990;101,91780;872,80750
-315;-0,1315777;1773,94184577317;-233,411255769646;0,0304811;0,00000;0,00000;-1,36720;171,41200;26,07736;927,02710;181,19830;101,87880;871,79300
-310;-0,1349892;1774,58490285219;-239,54985549452;0,02980256;0,00000;0,00000;-0,69980;171,48600;25,98732;931,85730;181,32910;101,86350;870,44790
-305;-0,1371695;1771,65315322471;-243,016801848814;0,02912378;0,00000;0,00000;-0,3759999;171,60650;25,89704;931,35340;181,52200;101,87560;866,77750
-300;-0,1378022;1769,13367349166;-243,790553451807;0,028427;0,00000;0,00000;-0,68450;171,77810;25,80523;933,17380;181,78410;101,91710;867,56960
-295;-0,1369558;1779,72923225881;-243,744171859113;0,02774847;0,00000;0,00000;0,1397002;172,00310;25,71028;935,34130;182,11910;101,98870;868,05290
-290;-0,1345617;1794,60548015242;-241,485214550048;0,02706969;0,00000;0,00000;0,3052001;172,28180;25,61039;938,82300;182,52730;102,08940;868,00540
-285;-0,1326893;1799,9952376174;-238,84002251285;0,02640963;0,00000;0,00000;-2,03970;172,61130;25,50383;938,48380;183,00550;102,21700;868,78970
-280;-0,1326893;1807,08859219107;-239,781234428672;0,02574933;0,00000;0,00000;-0,02640009;172,98640;25,38912;942,63250;183,54690;102,36790;869,74960
-275;-0,1345617;1810,74251796874;-243,656642243975;0,02507067;0,00000;0,00000;-0,3672998;173,39870;25,26535;945,12290;184,14190;102,53790;871,19010
-270;-0,1368275;1819,16748072615;-248,912156088173;0,02439225;0,00000;0,00000;-0,8673999;173,83750;25,13227;947,60740;184,77850;102,72170;871,65910
-265;-0,1384007;1825,70748525907;-252,67924992654;0,02369523;0,00000;0,00000;-1,53390;174,29030;24,99044;948,26980;185,44300;102,91420;869,98080
-260;-0,136571;1822,79438623962;-248,940863998776;0,02301669;0,00000;0,00000;-0,5354998;174,74300;24,84110;951,76200;186,12110;103,11020;868,80350
-255;-0,1337495;1824,42857665082;-244,016351523536;0,02233815;0,00000;0,00000;0,1349001;175,18150;24,68602;950,91390;186,79860;103,30450;866,80920
-250;-0,131116;1828,56176667271;-239,753764020347;0,02169621;0,00000;0,00000;-0,5241001;175,59230;24,52716;950,39700;187,46200;103,49290;862,81840
-245;-0,1309365;1834,6889662144;-240,227720100176;0,02103591;0,00000;0,00000;-1,86160;175,96350;24,36636;944,89230;188,09940;103,67170;860,49610
-240;-0,1313212;1836,08428147751;-241,116858974754;0,02037573;0,00000;0,00000;-1,37380;176,28570;24,20488;943,38330;188,70060;103,83790;859,47380
-235;-0,1331168;1830,09668232579;-243,616539253188;0,01971555;0,00000;0,00000;-0,02759981;176,55280;24,04313;940,70570;189,25740;103,98930;858,11490
-230;-0,131535;1824,91223644887;-240,039812014048;0,01905525;0,00000;0,00000;0,4665003;176,76180;23,88042;941,19970;189,76310;104,12420;857,74540
-225;-0,1311075;1812,98507020001;-237,695911629052;0,01839495;0,00000;0,00000;-0,03209972;176,91340;23,71492;941,51930;190,21300;104,24150;859,36660
-220;-0,1312015;1798,84731808159;-236,011530196385;0,01775324;0,00000;0,00000;-0,3564999;177,01110;23,54375;940,00840;190,60310;104,34050;858,50360
-215;-0,1292265;1788,06728141944;-231,065606902287;0,01709282;0,00000;0,00000;-1,53690;177,06070;23,36336;938,33330;190,93080;104,42040;861,79970
-210;-0,1280807;1779,24787016291;-227,887396117741;0,016451;0,00000;0,00000;-0,20330;177,06930;23,16998;939,48720;191,19350;104,48080;859,96990
-205;-0,127961;1779,03358919738;-227,646997899065;0,01582742;0,00000;0,00000;-0,2005999;177,04430;22,96024;942,14280;191,38930;104,52110;859,97200
-200;-0,1292692;1778,65037005394;-229,924731015569;0,01516712;0,00000;0,00000;-0,8604999;176,99210;22,73183;945,47150;191,51660;104,54070;858,66670
-195;-0,1332023;1778,68452356532;-236,924799631991;0,01450682;0,00000;0,00000;0,8017001;176,91750;22,48414;947,62850;191,57430;104,53920;859,50040
-190;-0,134861;1781,49341963528;-240,253946263775;0,0138284;0,00000;0,00000;-0,7063997;176,82290;22,21870;950,96030;191,56160;104,51610;859,86000
-185;-0,1361435;1785,57227274731;-243,094054401357;0,01314986;0,00000;0,00000;-1,86130;176,70790;21,93955;952,28690;191,47850;104,47140;859,52010
-180;-0,1372978;1796,29894003116;-246,627830631397;0,0124712;0,00000;0,00000;0,2941003;176,56940;21,65320;954,94590;191,32630;104,40530;859,53570
-175;-0,1360494;1811,45322929757;-246,44721844019;0,0117743;0,00000;0,00000;-1,53810;176,40180;21,36847;954,60790;191,10700;104,31870;861,51980
-170;-0,1340145;1832,11409608675;-245,529900184252;0,011114;0,00000;0,00000;0,1307003;176,19800;21,09592;954,10820;190,82450;104,21300;864,31550
-165;-0,1330313;1853,04758963268;-246,513254056934;0,01045382;0,00000;0,00000;-1,19180;175,94990;20,84707;954,42360;190,48360;104,09020;866,15170
-160;-0,1308082;1869,93786202606;-244,603259008531;0,00979352;0,00000;0,00000;-1,04700;175,64980;20,63354;954,25830;190,09110;103,95330;866,62910
-155;-0,1307655;1883,97133714918;-246,358418638346;0,009133339;0,00000;0,00000;-1,19390;175,29140;20,46602;953,92290;189,65470;103,80560;869,12820
-150;-0,127961;1895,19753106753;-242,511457669245;0,008509755;0,00000;0,00000;0,6380002;174,87030;20,35328;954,59110;189,18350;103,65120;871,61660
-145;-0,12496;1903,94059984307;-237,916332382885;0,007867813;0,00000;0,00000;-1,36090;174,38530;20,30138;956,92520;188,68730;103,49440;874,61320
-140;-0,1235663;1909,51062409438;-235,951139528472;0,007262588;0,00000;0,00000;-0,53040;173,83840;20,31302;959,26120;188,17650;103,33960;877,92580
-135;-0,120873;1913,59451925391;-231,301911180626;0,006657362;0,00000;0,00000;0,9627001;173,23500;20,38725;961,92410;187,66120;103,19140;879,93880
-130;-0,114469;1922,24337025244;-220,037207489142;0,006070495;0,00000;0,00000;0,1361003;172,58370;20,51936;964,75430;187,15080;103,05370;884,10750
-125;-0,109792;1934,67159787713;-212,411559632178;0,005538702;0,00000;0,00000;-0,20330;171,89590;20,70123;965,75990;186,65360;102,92990;889,93450
-120;-0,1021055;1951,93836220002;-199,30362965846;0,005025148;0,00000;0,00000;-0,8581004;171,18480;20,92183;968,08870;186,17570;102,82220;895,07970
-115;-0,09685572;1974,26660434592;-191,219014270236;0,004529953;0,00000;0,00000;-1,36240;170,46500;21,16800;970,24550;185,72100;102,73200;897,10030
-110;-0,09029778;1998,96493805999;-180,502099558485;0,004089713;0,00000;0,00000;-0,8608003;169,75110;21,42537;970,40570;185,29090;102,65910;898,81040
-105;-0,08615097;2019,00912745777;-173,939603898374;0,003649592;0,00000;0,00000;-0,3672998;169,05740;21,67930;970,89790;184,88350;102,60210;899,67910
-100;-0,08454356;2031,60395966219;-171,759016025934;0,003246307;0,00000;0,00000;-0,03629994;168,39670;21,91595;969,88970;184,49460;102,55850;904,18460
-95;-0,08307293;2028,35323287108;-168,501251698063;0,002806067;0,00000;0,00000;-1,02420;167,78010;22,12310;970,21720;184,11730;102,52460;908,38260
-90;-0,07929378;2014,79484345327;-159,760701936795;0,002420783;0,00000;0,00000;-0,02429986;167,21590;22,29098;971,37990;183,74300;102,49580;910,58500
-85;-0,07417226;1995,50582822702;-148,011180867505;0,002054095;0,00000;0,00000;-0,7064002;166,71000;22,41282;971,53820;183,36200;102,46730;912,94130
-80;-0,06823848;1979,11067700318;-135,051509942936;0,001705647;0,00000;0,00000;0,4701002;166,26480;22,48520;971,36840;182,96420;102,43370;916,97070
-75;-0,06385227;1968,45636505877;-125,6904136151;0,001393795;0,00000;0,00000;0,4632003;165,87990;22,50814;972,03140;182,54030;102,39030;920,50500
-70;-0,05633672;1969,11923348009;-110,933717609497;0,001100421;0,00000;0,00000;0,2989001;165,55170;22,48491;971,20310;182,08240;102,33250;923,83570
-65;-0,04969328;1973,91889883037;-98,0905015062682;0,0008620024;0,00000;0,00000;-1,03350;165,27340;22,42162;972,69870;181,58480;102,25690;926,17990
-60;-0,04440076;1984,8892051961;-88,1305790588895;0,000641942;0,00000;0,00000;-0,1994002;165,03610;22,32654;973,69460;181,04510;102,16090;928,37990
-55;-0,03842422;1997,05029560813;-76,7351066796227;0,0004402399;0,00000;0,00000;0,3034003;164,82850;22,20931;974,02510;180,46390;102,04330;929,58560
-50;-0,03382426;2003,13970978122;-67,7547212405122;0,0002750158;0,00000;0,00000;-0,2005999;164,63810;22,08002;973,86130;179,84570;101,90390;930,44910
-45;-0,02717227;2001,49024111338;-54,3850340795878;0,0001467466;0,00000;0,00000;-1,36900;164,45190;21,94828;975,85520;179,19820;101,74410;931,48860
-40;-0,01965672;1999,40636812821;-39,301767188645;0,00003671646;0,00000;0,00000;0,3019001;164,25690;21,82238;978,51890;178,53270;101,56610;933,50440
-35;-0,01164526;1999,71064927668;-23,2871484374299;-0,00001835823;0,00000;0,00000;-0,04380012;164,04160;21,70860;980,01260;177,86280;101,37310;933,03920
-30;-0,00439476;2002,8597532466;-8,80208760932812;-0,00003671646;0,00000;0,00000;0,7975004;163,79650;21,61073;981,33730;177,20400;101,16900;934,39560
-25;-0,0000000001058321;2007,45200319055;-0,00000021245284466;-0,00003671646;0,00000;0,00000;0,4551003;163,51460;21,52990;982,82460;176,57260;100,95780;935,42080
-20;0,0006412587;2013,43121498673;1,2911303631135;-0,00003671646;0,00000;0,00000;-0,2047997;163,19260;21,46457;982,31610;175,98430;100,74380;938,60160
-15;-0,0004702564;2018,88217328677;-0,949392341289544;-0,00003671646;0,00000;0,00000;-1,19000;162,83030;21,41091;984,14360;175,45330;100,53070;939,95590
-10;-0,0001282517;2022,27545133911;-0,259360246151405;-0,00003671646;0,00000;0,00000;-0,87010;162,43130;21,36325;985,46270;174,99120;100,32180;941,66150
-5;0,001197016;2020,27653465726;2,41830409107511;-0,00003671646;0,00000;0,00000;-0,3753998;162,00230;21,31476;986,12510;174,60560;100,11940;942,04480
0;0,005198471;2016,36602400048;10,482020541059;0,00000;0,00000;0,00000;-0,20030;161,55260;21,25816;987,61370;174,29960;99,92506;940,29520
5;0,01258577;2009,96792989789;25,296997068814;0,00005495548;0,00000;0,00000;-0,7063999;161,09340;21,18642;986,94620;174,07130;99,73898;941,00190
10;0,02546225;2005,17301049344;51,0562130072762;0,0001833439;0,00000;0,00000;-0,1999998;160,63690;21,09343;988,11610;173,91360;99,56046;941,05080
15;0,04133127;1998,00745579485;82,5801753695987;0,0003851652;0,00000;0,00000;-0,03659964;160,19490;20,97449;988,11740;173,81450;99,38776;941,75570
20;0,05672147;1990,63441288167;112,911718948468;0,0006786585;0,00000;0,00000;0,9624002;159,77790;20,82676;988,62370;173,75790;99,21843;942,45370
25;0,06666526;1985,46387276323;132,361462931332;0,001008749;0,00000;0,00000;-1,53450;159,39430;20,64942;987,46590;173,72430;99,04944;942,14380
30;0,07071801;1978,36917385127;139,90634029193;0,001357079;0,00000;0,00000;-0,37360;159,04910;20,44381;989,29930;173,69270;98,87754;943,15880
35;0,06845223;1965,8685607705;134,568093949905;0,001705647;0,00000;0,00000;-0,6991999;158,74350;20,21333;989,97380;173,64130;98,69959;942,68660
40;0,06197125;1955,10551317924;121,160323452646;0,002017379;0,00000;0,00000;-1,36930;158,47470;19,96323;990,63440;173,55030;98,51289;944,35310
45;0,05553301;1940,85246940836;107,781373693868;0,002292514;0,00000;0,00000;-0,87340;158,23590;19,70034;988,81880;173,40260;98,31551;944,54320
50;0,05331853;1926,06273611279;102,694829896704;0,002549291;0,00000;0,00000;-0,53460;158,01700;19,43263;987,98500;173,18580;98,10661;943,89870
55;0,05590921;1905,68431596909;106,545312930288;0,002842665;0,00000;0,00000;-1,03800;157,80510;19,16884;987,65770;172,89350;97,88667;947,37950
60;0,06338201;1882,76092490892;119,333185118389;0,003154516;0,00000;0,00000;0,6347003;157,58600;18,91792;987,67240;172,52630;97,65764;946,26060
65;0,07118827;1863,95138604387;132,691477489188;0,003502965;0,00000;0,00000;-0,5393999;157,34550;18,68861;988,17820;172,09180;97,42297;948,10910
70;0,07800271;1846,44309087856;144,027573574741;0,003906369;0,00000;0,00000;0,6302001;157,07080;18,48895;987,52360;171,60500;97,18763;947,31410
75;0,08240603;1835,43887579048;151,25122331479;0,004309893;0,00000;0,00000;0,2950003;156,75230;18,32582;986,53660;171,08750;96,95784;947,82820
80;0,08368;1826,050366431;152,803882722504;0,004731774;0,00000;0,00000;-1,20530;156,38430;18,20463;988,70760;170,56590;96,74081;950,34860
85;0,08189302;1819,29772707562;148,987782785824;0,005135298;0,00000;0,00000;-0,5279999;155,96640;18,12897;987,54760;170,07040;96,54433;951,36300
90;0,07813097;1821,05472500624;142,280767721733;0,005538702;0,00000;0,00000;-1,36960;155,50370;18,10041;988,71770;169,63260;96,37619;951,54390
95;0,07498453;1820,00625706653;136,472304521858;0,00590539;0,00000;0,00000;-1,19150;155,00690;18,11847;989,39590;169,28310;96,24371;951,08390
100;0,07511277;1823,81637853584;136,991912486678;0,006272197;0,00000;0,00000;-0,7072999;154,49150;18,18062;989,89860;169,04870;96,15308;952,11320
105;0,07778896;1835,28255163496;142,764725917913;0,00667572;0,00000;0,00000;0,29020;153,97710;18,28241;989,57030;168,95060;96,10889;953,78780
110;0,08232053;1845,96837293169;151,961084359739;0,007079244;0,00000;0,00000;-1,19810;153,48600;18,41780;989,73540;169,00200;96,11362;955,31240
115;0,08363724;1865,75582065865;156,046674769701;0,007501006;0,00000;0,00000;-0,7030997;153,04100;18,57948;990,07300;169,20720;96,16738;955,49710
120;0,0841075;1885,31319239725;158,568981546916;0,007922888;0,00000;0,00000;1,96860;152,66440;18,75937;988,74650;169,56030;96,26772;956,18720
125;0,08603127;1901,3206862955;163,573044716865;0,00834465;0,00000;0,00000;0,4754999;152,37570;18,94904;988,41470;170,04570;96,40974;955,88100
130;0,08627923;1911,17474422883;164,894680376008;0,008784771;0,00000;0,00000;0,7941999;152,19030;19,14023;988,58080;170,63900;96,58637;959,68830
135;0,08760449;1907,38458540857;167,09546073341;0,009225011;0,00000;0,00000;-0,3678997;152,11870;19,32535;988,76270;171,30830;96,78878;957,23660
140;0,09068254;1891,10560046321;171,490249392649;0,009665251;0,00000;0,00000;-2,21180;152,16500;19,49781;988,26090;172,01720;97,00708;957,73390
145;0,09348697;1873,50368892457;175,148190546758;0,01014197;0,00000;0,00000;-0,1963999;152,32760;19,65245;987,60570;172,72680;97,23101;957,23880
150;0,09796724;1855,70407614948;181,798197854833;0,01063716;0,00000;0,00000;-0,03299999;152,59840;19,78573;988,61780;173,39930;97,45072;957,41750
155;0,101943;1846,1391165042;188,201033129314;0,01113236;0,00000;0,00000;-0,1963997;152,96370;19,89594;987,95960;174,00050;97,65753;956,41930
160;0,10432;1842,80858014943;192,241738908866;0,01166427;0,00000;0,00000;0,1424003;153,40530;19,98321;987,30760;174,50290;97,84454;957,57640
165;0,106543;1849,95037398151;197,099264200119;0,01219606;0,00000;0,00000;-0,5399997;153,90110;20,04957;990,15140;174,88700;98,00715;959,04760
170;0,106714;1866,01914980086;199,13037447203;0,01272798;0,00000;0,00000;0,4701002;154,42640;20,09876;988,33080;175,14340;98,14331;960,51390
175;0,1061582;1884,43761165873;200,048591823543;0,01325977;0,00000;0,00000;-0,5387998;154,95530;20,13609;987,34140;175,27270;98,25359;961,79980
180;0,1069705;1894,3405616116;202,638566951035;0,01379168;0,00000;0,00000;0,46770;155,46190;20,16816;989,52140;175,28540;98,34098;963,26370
185;0,109356;1893,76400217232;207,09443055781;0,01434183;0,00000;0,00000;-1,20230;155,92140;20,20249;986,03720;175,20070;98,41058;962,23000
190;0,1109378;1883,1264272186;208,909821730977;0,01489198;0,00000;0,00000;-0,3750997;156,31120;20,24712;988,04920;175,04440;98,46902;962,68550
195;0,1119552;1864,6213236328;208,754092829956;0,01546061;0,00000;0,00000;-0,69170;156,61210;20,31017;987,55280;174,84720;98,52383;960,33560
200;0,1117928;1845,55243585399;206,319416972067;0,01601076;0,00000;0,00000;-0,1975999;156,80880;20,39932;989,22680;174,64140;98,58285;960,62710
205;0,1129385;1833,71897481858;207,097443659822;0,01657939;0,00000;0,00000;0,1328001;156,89090;20,52135;986,73490;174,45900;98,65349;959,75610
210;0,1141783;1833,79809078482;209,379868847902;0,0171479;0,00000;0,00000;-0,36760;156,85310;20,68168;989,06100;174,32920;98,74231;960,20350
