timestamp;Stang velocity;Stang force;Stang power;Stang position;Gulv stor sway X;Gulv stor sway Y;Gulv stor Newton;Gulv h sway X;Gulv h sway Y;Gulv h Newton;Gulv v sway X;Gulv v sway Y;Gulv v Newton
-500;-0,4330805;1736,16839573109;-751,900657783961;0,121961;0,00000;0,00000;1,492097;166,20830;90,76406;792,52500;177,67120;80,16325;902,87050
-495;-0,4281043;1698,44760753024;-727,112796863661;0,1198152;0,00000;0,00000;-0,1824031;166,47260;90,25168;793,51230;177,80220;80,17729;905,35960
-490;-0,4302248;1677,52848755755;-721,714301577886;0,1176694;0,00000;0,00000;-0,3413031;166,52570;89,92613;795,50160;178,09600;80,21971;906,19060
-485;-0,4341322;1668,96802781133;-724,552688287118;0,1155053;0,00000;0,00000;0,1692969;166,62730;89,57037;798,65670;178,32490;80,26196;908,68120
-480;-0,4364407;1669,39913128511;-728,593689139547;0,1133045;0,00000;0,00000;0,1617969;166,94700;89,16793;800,48400;178,75480;80,34818;909,35960
-475;-0,4354318;1675,37461710199;-729,51132788027;0,1111404;0,00000;0,00000;0,3179969;167,06760;89,05464;802,97520;179,19950;80,36411;907,88220
-470;-0,4326102;1685,12531705304;-729,002467750148;0,1089763;0,00000;0,00000;-1,182303;167,35890;88,77921;801,30210;179,81900;80,61213;904,77720
-465;-0,4288995;1696,96223743318;-727,826248887817;0,1068305;0,00000;0,00000;1,651597;167,83450;88,86173;798,47660;180,14540;80,68735;902,64510
-460;-0,428643;1709,79371346349;-732,891100925136;0,1046847;0,00000;0,00000;1,316697;168,48030;88,82210;793,48030;180,31550;80,81991;900,50960
-455;-0,4268988;1722,78291386719;-735,453908791106;0,1025572;0,00000;0,00000;1,163497;169,03510;88,94919;791,15120;180,96270;80,87979;899,86950
-450;-0,4271895;1735,43987917014;-741,361647559932;0,1004115;0,00000;0,00000;-0,1854032;169,53880;89,05852;786,32600;180,85230;80,99390;901,20240
-445;-0,4277965;1747,44873348599;-747,552505025624;0,09828404;0,00000;0,00000;-0,8333031;169,15680;89,19074;787,82320;180,62810;81,31895;905,69670
-440;-0,4272322;1758,5745888021;-751,319729221755;0,0961383;0,00000;0,00000;0,1758969;167,96210;89,02003;792,31790;179,85810;81,86777;911,20030
-435;-0,4257873;1768,72545583309;-753,100768227611;0,09401083;0,00000;0,00000;0,6492969;166,29410;88,95565;799,14280;179,14680;82,28894;919,00100
-430;-0,4233163;1777,84549553545;-752,590947596768;0,09190172;0,00000;0,00000;0,3251969;165,13400;89,01164;808,14390;178,75670;82,52299;925,96360
-425;-0,4193405;1785,91810841328;-748,907720047854;0,08979261;0,00000;0,00000;-0,1695032;164,10690;89,20782;813,48390;178,80240;82,67670;930,94470
-420;-0,4164505;1792,95032680149;-746,675081000402;0,08772019;0,00000;0,00000;0,6525968;163,68620;89,32977;814,14750;178,60820;82,92859;935,10220
-415;-0,414484;1798,95801177285;-745,639267957132;0,08564782;0,00000;0,00000;0,9907969;164,10080;89,43569;814,64540;178,59050;82,93845;940,39610
-410;-0,4102602;1803,96355291438;-740,094494029387;0,08359373;0,00000;0,00000;0,1602969;164,87300;89,73762;813,65440;178,89400;82,97086;943,21850
-405;-0,405267;1807,98827641344;-732,71792802799;0,08155796;0,00000;0,00000;2,166397;165,88070;89,81849;813,48850;179,34100;82,94785;946,03580
-400;-0,3996923;1811,05765322909;-723,865794769508;0,07957724;0,00000;0,00000;0,4780969;166,95090;89,97020;807,99400;180,20600;83,01083;944,07520
-395;-0,3945195;1813,20093926317;-715,343093885313;0,07759652;0,00000;0,00000;0,4888969;167,89800;89,86370;804,82600;180,58930;83,01089;940,28110
-390;-0,3911935;1814,45517185706;-709,803067635699;0,07563412;0,00000;0,00000;-0,3467031;168,83020;89,92870;799,82970;181,60960;82,95894;935,49850
-385;-0,3874913;1814,8671648787;-703,245218967417;0,07370844;0,00000;0,00000;-0,01420307;169,65960;89,76693;799,49420;182,28890;82,90968;929,71890
-380;-0,3830452;1814,49768857545;-695,034663435704;0,07178277;0,00000;0,00000;1,487297;170,40370;89,56920;800,65640;183,39100;82,86114;923,61460
-375;-0,3798988;1813,4236228074;-688,917387814458;0,06989372;0,00000;0,00000;0,1653969;171,30310;89,60887;799,99040;184,15070;82,94262;920,82850
-370;-0,3757092;1811,73989029813;-680,687353657315;0,06800467;0,00000;0,00000;0,6636968;171,82850;89,44336;799,98810;184,39780;83,08800;919,85440
-365;-0,3711948;1809,56026654617;-671,699275403711;0,06615236;0,00000;0,00000;-0,01930308;172,78400;89,32413;800,15280;184,44520;83,13636;918,37390
-360;-0,368168;1807,01703453143;-665,285892167498;0,06431836;0,00000;0,00000;0,4894969;173,62210;89,39792;796,82870;184,54970;83,44075;920,39000
-355;-0,364235;1804,25943396524;-657,174385489164;0,06248435;0,00000;0,00000;0,1656969;174,42240;89,13404;797,98540;184,08300;83,46249;925,51500
-350;-0,3650558;1801,4509016081;-657,630064953399;0,06066868;0,00000;0,00000;1,492397;174,70740;89,10654;798,81920;184,02120;83,42905;926,83440
-345;-0,3643718;1798,76517199042;-655,419246999508;0,05885303;0,00000;0,00000;1,321197;175,50730;89,16596;801,81850;183,96220;83,22318;929,12720
-340;-0,3623967;1796,38135901739;-651,002672174221;0,05701905;0,00000;0,00000;1,322997;176,03170;89,40312;804,98840;184,09520;83,10964;929,44750
